"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-11-3","112.95","112.15","113.15","111.82","","0.72%"
"2022-11-2","112.15","111.49","112.17","110.43","","0.60%"
"2022-11-1","111.48","111.52","111.78","110.72","","-0.04%"
"2022-10-31","111.53","110.67","111.67","110.72","","0.65%"
"2022-10-30","110.81","110.67","110.85","110.67","","0.05%"
"2022-10-28","110.75","110.50","111.04","110.29","","0.15%"
"2022-10-27","110.59","109.62","110.62","109.54","","0.81%"
"2022-10-26","109.70","110.96","111.14","109.63","","-1.13%"
"2022-10-25","110.95","111.82","112.13","110.76","","-0.93%"
"2022-10-24","111.99","111.88","112.53","111.47","","-0.02%"
"2022-10-21","112.01","112.94","113.94","111.70","","-0.77%"
"2022-10-20","112.88","112.99","113.09","112.17","","-0.09%"
"2022-10-19","112.98","111.91","113.10","111.92","","0.76%"
"2022-10-18","112.13","112.07","112.46","111.77","","0.08%"
"2022-10-17","112.04","113.22","113.22","111.92","","-1.12%"
"2022-10-14","113.31","112.47","113.42","112.16","","0.84%"
"2022-10-13","112.36","113.24","113.92","112.15","","-0.84%"
"2022-10-12","113.32","113.31","113.59","113.05","","0.09%"
"2022-10-11","113.22","113.08","113.50","112.41","","0.07%"
"2022-10-10","113.14","112.75","113.33","112.62","","0.31%"
"2022-10-7","112.79","112.25","112.88","111.95","","0.48%"
"2022-10-6","112.26","111.02","112.31","110.78","","1.07%"
"2022-10-5","111.07","110.22","111.74","110.09","","0.92%"
"2022-10-4","110.07","111.59","111.89","110.06","","-1.50%"
"2022-10-3","111.75","112.17","112.54","111.47","","-0.33%"
"2022-9-30","112.12","111.75","112.67","111.58","","-0.12%"
"2022-9-29","112.25","113.01","113.79","111.77","","-0.31%"
"2022-9-28","112.60","114.18","114.78","112.56","","-1.32%"
"2022-9-27","114.11","114.02","114.47","113.33","","0.00%"
"2022-9-26","114.10","113.02","114.53","112.94","","0.80%"
"2022-9-23","113.19","111.24","113.23","111.08","","1.65%"
"2022-9-22","111.35","111.48","111.81","110.46","","0.64%"
"2022-9-21","110.64","110.16","111.58","110.13","","0.39%"
"2022-9-20","110.21","109.58","110.29","109.36","","0.44%"
"2022-9-19","109.74","109.64","110.18","109.49","","-0.02%"
"2022-9-16","109.76","109.80","110.26","109.47","","0.02%"
"2022-9-15","109.74","109.61","109.92","109.42","","0.07%"
"2022-9-14","109.66","109.97","109.93","109.28","","-0.14%"
"2022-9-13","109.82","108.23","110.01","107.68","","1.37%"
"2022-9-12","108.33","108.60","108.86","107.81","","-0.62%"
"2022-9-9","109.00","109.57","109.54","108.36","","-0.64%"
"2022-9-8","109.71","109.67","110.24","109.33","","-0.12%"
"2022-9-7","109.84","110.32","110.79","109.53","","-0.34%"
"2022-9-6","110.21","109.60","110.55","109.38","","0.35%"
"2022-9-5","109.83","109.61","110.27","109.72","","0.27%"
"2022-9-2","109.53","109.64","109.72","108.93","","-0.14%"
"2022-9-1","109.69","108.84","109.98","108.77","","0.91%"
"2022-8-31","108.70","108.75","109.20","108.38","","-0.07%"
"2022-8-30","108.77","108.70","109.11","108.29","","-0.06%"
"2022-8-29","108.83","108.84","109.48","108.49","","0.03%"
"2022-8-26","108.80","108.47","108.87","107.59","","0.31%"
"2022-8-25","108.47","108.63","108.69","107.99","","-0.19%"
"2022-8-24","108.68","108.52","109.11","108.36","","0.05%"
"2022-8-23","108.62","109.00","109.27","108.08","","-0.39%"
"2022-8-22","109.05","108.10","109.10","108.08","","0.81%"
"2022-8-19","108.17","107.50","108.21","107.47","","0.64%"
"2022-8-18","107.48","106.68","107.56","106.50","","0.85%"
"2022-8-17","106.57","106.45","106.89","106.31","","0.07%"
"2022-8-16","106.50","106.48","106.94","106.32","","-0.04%"
"2022-8-15","106.55","105.67","106.55","105.55","","0.87%"
"2022-8-12","105.63","105.16","105.88","105.09","","0.51%"
"2022-8-11","105.09","105.21","105.46","104.65","","-0.10%"
"2022-8-10","105.20","106.34","106.40","104.64","","-1.11%"
"2022-8-9","106.37","106.33","106.41","105.97","","-0.06%"
"2022-8-8","106.43","106.58","106.80","106.09","","-0.17%"
"2022-8-5","106.62","105.72","106.93","105.69","","0.88%"
"2022-8-4","105.69","106.48","106.51","105.67","","-0.76%"
"2022-8-3","106.51","106.43","106.82","105.97","","0.25%"
"2022-8-2","106.24","105.36","106.35","105.05","","0.75%"
"2022-8-1","105.45","105.83","106.03","105.24","","-0.43%"
"2022-7-29","105.90","106.21","106.66","105.54","","-0.42%"
"2022-7-28","106.35","106.37","106.97","106.06","","-0.09%"
"2022-7-27","106.45","107.13","107.43","106.26","","-0.69%"
"2022-7-26","107.19","106.45","107.28","106.20","","0.66%"
"2022-7-25","106.48","106.54","106.88","106.19","","-0.23%"
"2022-7-22","106.73","106.59","107.36","106.11","","-0.17%"
"2022-7-21","106.91","107.08","107.32","106.42","","-0.16%"
"2022-7-20","107.08","106.67","107.25","106.39","","0.37%"
"2022-7-19","106.68","107.49","107.63","106.40","","-0.64%"
"2022-7-18","107.37","107.98","108.04","106.89","","-0.64%"
"2022-7-15","108.06","108.67","108.71","107.91","","-0.44%"
"2022-7-14","108.54","108.14","109.29","108.14","","0.54%"
"2022-7-13","107.96","108.18","108.58","107.48","","-0.11%"
"2022-7-12","108.07","108.18","108.56","107.84","","0.05%"
"2022-7-11","108.02","106.89","108.27","106.92","","0.95%"
"2022-7-8","107.01","107.04","107.79","106.81","","-0.11%"
"2022-7-7","107.13","107.07","107.24","106.71","","0.03%"
"2022-7-6","107.10","106.49","107.26","106.36","","0.53%"
"2022-7-5","106.54","105.14","106.79","105.05","","1.33%"
"2022-7-4","105.14","105.12","105.25","104.82","","0.00%"
"2022-7-1","105.14","104.78","105.64","104.74","","0.43%"
"2022-6-30","104.68","105.06","105.54","104.64","","-0.40%"
"2022-6-29","105.11","104.46","105.15","104.36","","0.57%"
"2022-6-28","104.51","103.97","104.61","103.77","","0.55%"
"2022-6-27","103.94","104.12","104.21","103.67","","-0.24%"
"2022-6-24","104.18","104.38","104.51","103.95","","-0.24%"
"2022-6-23","104.43","104.21","104.77","104.06","","0.22%"
"2022-6-22","104.20","104.43","104.95","103.86","","-0.23%"
"2022-6-21","104.43","104.44","104.54","103.94","","-0.25%"
"2022-6-20","104.70","104.65","104.82","104.23","","0.00%"
"2022-6-17","104.70","103.88","105.08","103.83","","1.03%"
"2022-6-16","103.63","104.90","105.49","103.42","","-1.45%"
"2022-6-15","105.16","105.35","105.79","104.66","","-0.34%"
"2022-6-14","105.52","105.19","105.65","104.62","","0.42%"
"2022-6-13","105.08","104.19","105.29","104.21","","0.89%"
"2022-6-10","104.15","103.34","104.23","103.05","","0.90%"
"2022-6-9","103.22","102.56","103.37","102.15","","0.66%"
"2022-6-8","102.54","102.39","102.78","102.27","","0.22%"
"2022-6-7","102.32","102.49","102.84","102.26","","-0.12%"
"2022-6-6","102.44","102.17","102.47","101.85","","0.29%"
"2022-6-3","102.14","101.75","102.22","101.64","","0.31%"
"2022-6-2","101.82","102.55","102.62","101.74","","-0.66%"
"2022-6-1","102.50","101.76","102.73","101.74","","0.73%"
"2022-5-31","101.75","101.43","102.17","101.41","","0.08%"
"2022-5-30","101.67","101.64","101.72","101.30","","0.00%"
"2022-5-27","101.67","101.72","101.94","101.43","","-0.16%"
"2022-5-26","101.83","102.02","102.27","101.74","","-0.22%"
"2022-5-25","102.06","101.77","102.45","101.73","","0.20%"
"2022-5-24","101.86","102.11","102.32","101.65","","-0.21%"
"2022-5-23","102.08","103.03","103.05","102.04","","-1.04%"
"2022-5-20","103.15","102.90","103.26","102.77","","0.41%"
"2022-5-19","102.72","103.83","103.88","102.66","","-1.05%"
"2022-5-18","103.81","103.34","103.93","103.19","","0.44%"
"2022-5-17","103.36","104.17","104.23","103.23","","-0.79%"
"2022-5-16","104.19","104.46","104.64","104.14","","-0.36%"
"2022-5-13","104.56","104.77","105.00","104.46","","-0.27%"
"2022-5-12","104.85","104.01","104.93","103.88","","0.97%"
"2022-5-11","103.85","103.90","104.11","103.37","","-0.07%"
"2022-5-10","103.92","103.73","103.98","103.50","","0.26%"
"2022-5-9","103.65","103.66","104.19","103.39","","-0.01%"
"2022-5-6","103.66","103.56","104.06","103.19","","-0.09%"
"2022-5-5","103.75","102.68","103.94","102.35","","1.14%"
"2022-5-4","102.59","103.46","103.61","102.46","","-0.85%"
"2022-5-3","103.46","103.60","103.67","103.03","","-0.27%"
"2022-5-2","103.74","103.21","103.75","103.11","","0.76%"
"2022-4-29","102.96","103.67","103.67","102.82","","-0.64%"
"2022-4-28","103.62","103.04","103.93","102.98","","0.65%"
"2022-4-27","102.95","102.28","103.28","102.22","","0.64%"
"2022-4-26","102.30","101.73","102.36","101.51","","0.54%"
"2022-4-25","101.75","101.12","101.86","101.04","","0.53%"
"2022-4-22","101.22","100.62","101.33","100.47","","0.64%"
"2022-4-21","100.58","100.35","100.64","99.82","","0.19%"
"2022-4-20","100.39","100.98","101.04","100.22","","-0.57%"
"2022-4-19","100.96","100.83","101.03","100.70","","0.18%"
"2022-4-18","100.78","100.50","100.86","100.46","","0.46%"
"2022-4-15","100.32","100.42","100.57","100.32","","0.00%"
"2022-4-14","100.32","99.79","100.76","99.57","","0.45%"
"2022-4-13","99.88","100.34","100.52","99.83","","-0.42%"
"2022-4-12","100.29","100.04","100.33","99.74","","0.36%"
